[18,7]
Cell[1,1] : G
Cell[1,2] : G
Cell[1,3] : G
Cell[1,4] : G
Cell[1,5] : G
Cell[1,6] : G
Cell[1,7] : G
Cell[2,1] : G
Cell[2,2] : O
Cell[2,3] : O
Cell[2,4] : O
Cell[2,5] : O
Cell[2,6] : O
Cell[2,7] : G
Cell[3,1] : G
Cell[3,2] : O
Cell[3,3] : G
Cell[3,4] : O
Cell[3,5] : G
Cell[3,6] : G
Cell[3,7] : G
Cell[4,1] : G
Cell[4,2] : O
Cell[4,3] : G
Cell[4,4] : O
Cell[4,5] : G
Cell[4,6] : O
Cell[4,7] : O
Cell[5,1] : G
Cell[5,2] : G
Cell[5,3] : G
Cell[5,4] : G
Cell[5,5] : G
Cell[5,6] : G
Cell[5,7] : G
Cell[6,1] : G
Cell[6,2] : O
Cell[6,3] : O
Cell[6,4] : O
Cell[6,5] : O
Cell[6,6] : O
Cell[6,7] : G
Cell[7,1] : G
Cell[7,2] : G
Cell[7,3] : G
Cell[7,4] : O
Cell[7,5] : G
Cell[7,6] : G
Cell[7,7] : G
Cell[8,1] : G
Cell[8,2] : O
Cell[8,3] : O
Cell[8,4] : O
Cell[8,5] : O
Cell[8,6] : O
Cell[8,7] : G
Cell[9,1] : G
Cell[9,2] : G
Cell[9,3] : G
Cell[9,4] : G
Cell[9,5] : G
Cell[9,6] : G
Cell[9,7] : G
Cell[10,1] : G
Cell[10,2] : O
Cell[10,3] : O
Cell[10,4] : O
Cell[10,5] : O
Cell[10,6] : O
Cell[10,7] : G
Cell[11,1] : G
Cell[11,2] : O
Cell[11,6] : O
Cell[11,7] : G
Cell[12,1] : G
Cell[12,2] : G
Cell[12,3] : O
Cell[12,4] : O
Cell[12,5] : O
Cell[12,6] : G
Cell[12,7] : G
Cell[13,1] : O
Cell[13,2] : G
Cell[13,3] : G
Cell[13,4] : G
Cell[13,5] : G
Cell[13,6] : G
Cell[13,7] : O
Cell[14,1] : G
Cell[14,2] : G
Cell[14,3] : O
Cell[14,4] : O
Cell[14,5] : O
Cell[14,6] : G
Cell[14,7] : G
Cell[15,1] : G
Cell[15,2] : O
Cell[15,6] : O
Cell[15,7] : G
Cell[16,1] : G
Cell[16,2] : O
Cell[16,6] : O
Cell[16,7] : G
Cell[17,1] : G
Cell[17,2] : G
Cell[17,3] : O
Cell[17,4] : O
Cell[17,5] : O
Cell[17,6] : G
Cell[17,7] : G
Cell[18,1] : O
Cell[18,2] : G
Cell[18,3] : G
Cell[18,4] : G
Cell[18,5] : G
Cell[18,6] : G
Cell[18,7] : O
