[6,8]
Cell[1,2] : G
Cell[1,3] : G
Cell[1,5] : G
Cell[1,6] : G
Cell[1,7] : G
Cell[1,8] : G
Cell[2,1] : O
Cell[2,2] : O
Cell[2,3] : O
Cell[2,4] : O
Cell[2,5] : G
Cell[2,6] : O
Cell[2,7] : O
Cell[2,8] : G
Cell[3,1] : O
Cell[3,2] : O
Cell[3,3] : O
Cell[3,4] : O
Cell[3,5] : G
Cell[3,6] : O
Cell[3,7] : O
Cell[3,8] : G
Cell[4,1] : O
Cell[4,2] : O
Cell[4,3] : O
Cell[4,4] : O
Cell[4,5] : G
Cell[4,6] : O
Cell[4,7] : O
Cell[4,8] : G
Cell[5,1] : O
Cell[5,2] : O
Cell[5,3] : O
Cell[5,4] : O
Cell[5,5] : G
Cell[5,6] : O
Cell[5,7] : O
Cell[5,8] : G
Cell[6,1] : O
Cell[6,2] : O
Cell[6,3] : O
Cell[6,4] : O
Cell[6,6] : O
Cell[6,7] : O
Cell[6,8] : G
