[18,5]
Cell[1,1] : G
Cell[1,2] : G
Cell[1,3] : G
Cell[1,4] : G
Cell[1,5] : G
Cell[2,1] : G
Cell[2,2] : O
Cell[2,3] : O
Cell[2,4] : O
Cell[2,5] : G
Cell[3,1] : G
Cell[3,2] : O
Cell[3,3] : G
Cell[3,4] : O
Cell[3,5] : G
Cell[4,1] : G
Cell[4,2] : G
Cell[4,3] : G
Cell[4,4] : G
Cell[4,5] : G
Cell[5,1] : G
Cell[5,2] : O
Cell[5,3] : O
Cell[5,4] : O
Cell[5,5] : G
Cell[6,1] : G
Cell[6,2] : G
Cell[6,3] : G
Cell[6,4] : G
Cell[6,5] : G
Cell[7,1] : O
Cell[7,2] : O
Cell[7,3] : G
Cell[7,4] : O
Cell[7,5] : G
Cell[8,1] : G
Cell[8,2] : O
Cell[8,3] : G
Cell[8,4] : O
Cell[8,5] : G
Cell[9,1] : G
Cell[9,2] : O
Cell[9,3] : G
Cell[9,4] : O
Cell[9,5] : G
Cell[10,1] : G
Cell[10,2] : G
Cell[10,3] : G
Cell[10,4] : O
Cell[10,5] : G
Cell[11,1] : G
Cell[11,2] : O
Cell[11,3] : G
Cell[11,4] : O
Cell[11,5] : G
Cell[12,1] : O
Cell[12,2] : O
Cell[12,3] : G
Cell[12,4] : O
Cell[12,5] : G
Cell[13,1] : G
Cell[13,2] : G
Cell[13,3] : G
Cell[13,4] : G
Cell[13,5] : G
Cell[14,1] : G
Cell[14,2] : O
Cell[14,3] : O
Cell[14,4] : O
Cell[14,5] : G
Cell[15,1] : G
Cell[15,2] : G
Cell[15,3] : G
Cell[15,4] : G
Cell[15,5] : G
Cell[16,1] : G
Cell[16,2] : O
Cell[16,3] : G
Cell[16,4] : O
Cell[16,5] : G
Cell[17,1] : G
Cell[17,2] : O
Cell[17,3] : O
Cell[17,4] : O
Cell[17,5] : G
Cell[18,1] : G
Cell[18,2] : G
Cell[18,3] : G
Cell[18,4] : G
Cell[18,5] : G
