[12,12]
Cell[1,1] : G
Cell[1,2] : G
Cell[1,3] : G
Cell[1,4] : G
Cell[1,5] : G
Cell[1,6] : G
Cell[1,7] : G
Cell[1,8] : G
Cell[1,9] : G
Cell[1,10] : G
Cell[1,11] : G
Cell[1,12] : G
Cell[2,1] : G
Cell[2,2] : O
Cell[2,3] : O
Cell[2,4] : O
Cell[2,5] : G
Cell[2,6] : O
Cell[2,7] : O
Cell[2,8] : O
Cell[2,9] : O
Cell[2,10] : O
Cell[2,11] : O
Cell[2,12] : G
Cell[3,1] : G
Cell[3,2] : G
Cell[3,3] : G
Cell[3,4] : G
Cell[3,5] : G
Cell[3,6] : O
Cell[3,7] : O
Cell[3,8] : O
Cell[3,9] : O
Cell[3,10] : O
Cell[3,11] : O
Cell[3,12] : G
Cell[4,1] : G
Cell[4,2] : O
Cell[4,3] : O
Cell[4,4] : O
Cell[4,5] : G
Cell[4,6] : O
Cell[4,7] : O
Cell[4,8] : O
Cell[4,9] : O
Cell[4,10] : O
Cell[4,11] : O
Cell[4,12] : G
Cell[5,1] : G
Cell[5,2] : O
Cell[5,3] : O
Cell[5,4] : O
Cell[5,5] : G
Cell[5,6] : O
Cell[5,7] : O
Cell[5,8] : O
Cell[5,9] : O
Cell[5,10] : O
Cell[5,11] : O
Cell[5,12] : G
Cell[6,1] : G
Cell[6,2] : O
Cell[6,3] : O
Cell[6,4] : O
Cell[6,5] : G
Cell[6,6] : O
Cell[6,7] : O
Cell[6,8] : O
Cell[6,9] : O
Cell[6,10] : O
Cell[6,11] : O
Cell[6,12] : G
Cell[7,1] : G
Cell[7,2] : O
Cell[7,3] : O
Cell[7,4] : O
Cell[7,5] : G
Cell[7,6] : O
Cell[7,7] : O
Cell[7,8] : O
Cell[7,9] : O
Cell[7,10] : O
Cell[7,11] : O
Cell[7,12] : G
Cell[8,1] : G
Cell[8,2] : O
Cell[8,3] : O
Cell[8,4] : O
Cell[8,5] : G
Cell[8,6] : O
Cell[8,7] : O
Cell[8,8] : O
Cell[8,9] : O
Cell[8,10] : O
Cell[8,11] : O
Cell[8,12] : G
Cell[9,1] : G
Cell[9,2] : O
Cell[9,3] : O
Cell[9,4] : O
Cell[9,5] : G
Cell[9,6] : O
Cell[9,7] : O
Cell[9,8] : O
Cell[9,9] : O
Cell[9,10] : O
Cell[9,11] : O
Cell[9,12] : G
Cell[10,1] : G
Cell[10,2] : O
Cell[10,3] : O
Cell[10,4] : O
Cell[10,5] : G
Cell[10,6] : G
Cell[10,7] : G
Cell[10,8] : G
Cell[10,9] : G
Cell[10,10] : G
Cell[10,11] : G
Cell[10,12] : G
Cell[11,1] : G
Cell[11,2] : O
Cell[11,3] : O
Cell[11,4] : O
Cell[11,5] : G
Cell[11,6] : O
Cell[11,7] : O
Cell[11,8] : O
Cell[11,9] : O
Cell[11,10] : O
Cell[11,11] : O
Cell[11,12] : G
Cell[12,1] : G
Cell[12,2] : G
Cell[12,3] : G
Cell[12,4] : G
Cell[12,5] : G
Cell[12,6] : G
Cell[12,7] : G
Cell[12,8] : G
Cell[12,9] : G
Cell[12,10] : G
Cell[12,11] : G
Cell[12,12] : G
